"src_ip","dest_ip","dest_port",dvc,sourcetype
"10.214.170.201 10.214.170.211 10.214.170.212 10.220.188.76 10.220.188.83","167.69.90.24",389,"206.213.247.22","cp_log"
"10.214.170.200 10.214.170.201 10.214.170.206 10.214.170.207 10.214.170.211 10.214.170.212 10.214.170.213 10.220.188.76 10.220.188.77 10.220.188.82 10.220.188.84 10.221.161.102 10.221.161.104","167.69.90.24",49669,"206.213.247.22","cp_log"
"10.214.170.200 10.214.170.201 10.214.170.206 10.214.170.207 10.214.170.213 10.221.161.102","167.69.90.24",55844,"206.213.247.22","cp_log"
"10.159.16.198 10.159.17.196 10.159.17.198","167.69.90.24",135,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.16.198 10.159.17.196 10.159.17.198","167.69.90.24",49669,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.16.198 10.159.17.196 10.159.17.198","167.69.90.24",55844,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.16.202","167.69.90.81",3268,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.16.196 10.159.16.198 10.159.16.199 10.159.16.202 10.159.17.196 10.159.17.197 10.159.17.198 10.159.17.199","167.69.91.12",389,"mid-fw-equinix-ftd-1","cisco:asa"
"10.214.170.202 10.221.161.102 10.221.161.103 10.221.161.106 10.221.161.112 10.221.161.113","167.69.91.18",389,"206.213.247.22","cp_log"
"10.214.170.202 10.217.241.162 10.221.161.103 10.221.161.106 10.221.161.112 10.221.161.113","167.69.91.18",49671,"206.213.247.22","cp_log"
"10.18.38.13 10.214.170.202 10.214.170.210 10.217.241.162 10.221.161.103 10.221.161.113","167.69.91.18",56029,"206.213.247.22","cp_log"
"10.159.16.196 10.159.16.202","167.69.91.18",135,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.17.196","167.69.91.18",389,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.16.196 10.159.16.202","167.69.91.18",49671,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.16.196 10.159.16.202","167.69.91.18",56029,"mid-fw-equinix-ftd-1","cisco:asa"
"10.159.16.198","167.69.91.74",3268,"mid-fw-equinix-ftd-1","cisco:asa"
"172.16.53.50","172.16.37.51",123,"mid-fw-clouddmz-pa-a","pan:traffic"
"172.16.53.51","172.16.37.51",135,"mid-fw-clouddmz-pa-a","pan:traffic"
"172.16.53.50","172.16.37.51",123,"win-fw-clouddmz-pa-a","pan:traffic"
"172.16.53.51","172.16.37.51",135,"win-fw-clouddmz-pa-a","pan:traffic"
"172.16.53.51","172.16.37.51",49672,"win-fw-clouddmz-pa-a","pan:traffic"
