src_ip,dest_ip,dest_port,dvc
10.236.63.230 10.236.63.231,10.221.161.107,389,10.236.251.204
10.236.127.233,10.221.161.107,389,10.236.251.244
10.223.252.200,10.221.161.107,88,10.18.126.25
10.223.251.209,10.221.161.113,135,10.18.126.10
10.236.63.226,10.221.161.113,135,10.236.251.206
10.236.127.230,10.221.161.113,135,10.236.251.246
10.223.251.209 10.223.252.209 10.223.252.211,10.221.161.113,389,10.18.126.11
10.223.251.209 10.223.252.209 10.223.252.211,10.221.161.113,389,10.18.126.24
10.18.28.116 10.228.8.62,10.223.251.201,3268,10.18.126.25
10.18.145.159 10.18.41.129,10.223.251.202,3268,10.18.126.11
10.18.145.159,10.223.251.202,3268,10.18.126.24
10.220.188.81,10.223.252.200,3268,10.18.126.25
10.18.148.12 10.221.161.108,10.223.252.201,3268,10.18.126.11
10.223.252.200,10.228.8.60,88,10.18.126.24
10.236.127.234,10.228.8.60,88,10.236.251.247
167.69.5.179,10.236.127.227,3268,10.236.251.246
167.69.91.18,10.236.127.230,135,10.236.251.246
167.69.90.24,10.236.127.231,135,206.213.247.22
167.69.90.24,10.236.127.231,389,10.18.126.10
167.69.90.24,10.236.127.231,389,10.236.251.246
10.221.161.110,10.236.127.234,3268,10.18.126.25
10.223.252.201,10.236.63.230,3268,10.236.251.205
10.214.170.210,10.236.63.231,135,10.236.251.206
167.69.32.23,10.236.63.234,3268,10.236.251.205
167.69.32.23,10.236.63.234,3268,206.213.247.22
167.69.91.138,10.236.63.235,3268,10.18.126.25
10.46.12.24,10.46.84.11,135,10.46.193.55
167.69.90.24 167.69.91.10,10.47.196.90,389,mid-fw-equinix-ftd-1
10.47.35.26 10.47.35.27,10.47.208.130,389,10.46.193.15
10.46.12.23 10.46.12.24,10.47.208.138,389,10.46.193.15
10.236.127.226,10.47.208.139,135,10.236.251.246
10.46.84.11,10.47.208.142,135,10.46.193.15
167.69.5.208,10.47.208.142,389,mid-fw-equinix-ftd-1
10.46.12.23 10.46.12.24,10.47.208.143,389,10.46.193.15
10.18.38.12 10.18.38.13 10.18.38.209 10.18.41.131 10.220.188.77 10.220.32.60 10.221.161.102 10.221.161.111,10.86.188.10,135,10.18.126.25
10.236.63.228,10.86.188.10,135,10.236.251.204
167.69.90.10 167.69.90.24 167.69.91.10 167.69.91.18,10.86.188.10,389,mid-fw-equinix-ftd-1
10.236.63.227,10.93.11.246,135,10.236.251.206
167.69.59.251,157.121.36.12,135,mid-fw-pod-aetdmz-ftd-2
10.46.12.23 10.46.12.24,167.69.211.228,135,10.108.100.12
10.159.17.196,167.69.221.165,3268,mid-fw-equinix-ftd-1
10.159.17.198,167.69.224.117,3268,mid-fw-equinix-ftd-1
10.159.16.196 10.159.16.198 10.159.16.199 10.159.16.202 10.159.17.196 10.159.17.197 10.159.17.198 10.159.17.199,167.69.32.123,135,mid-fw-equinix-ftd-1
10.223.252.209,167.69.90.10,135,10.18.126.10
10.236.63.228,167.69.90.10,135,10.236.251.206
10.236.127.232,167.69.90.10,135,10.236.251.246
10.223.251.207,167.69.90.10,389,10.18.126.11
10.223.252.209,167.69.90.10,389,10.18.126.24
10.46.84.11,167.69.90.12,135,10.108.100.12
10.236.127.227,167.69.90.12,135,10.18.126.25
10.159.16.196 10.159.16.198 10.159.16.199 10.159.16.202 10.159.17.196 10.159.17.197 10.159.17.198 10.159.17.199,167.69.90.12,389,mid-fw-equinix-ftd-1
10.236.63.234 10.236.63.235,167.69.90.12,88,10.236.251.205
10.236.127.227,167.69.90.12,88,10.236.251.245
10.159.16.196 10.159.16.198 10.159.16.199 10.159.16.202 10.159.17.197 10.159.17.199,167.69.90.12,88,mid-fw-equinix-ftd-1
10.236.63.227,167.69.90.24,135,10.236.251.205
10.159.16.198 10.159.17.197 10.47.196.90 10.47.196.91,167.69.90.24,135,mid-fw-equinix-ftd-1
10.159.16.196 10.159.17.198 10.159.17.199,167.69.91.10,135,mid-fw-equinix-ftd-1
10.46.12.23,167.69.91.12,135,10.108.100.11
10.159.16.202 10.159.17.196,167.69.91.18,135,mid-fw-equinix-ftd-1
10.236.63.227,10.124.64.168,135,10.236.251.205
167.69.166.200,10.159.16.202,3268,mid-fw-equinix-ftd-1
167.69.5.179,10.159.17.199,3268,mid-fw-equinix-ftd-1
10.236.127.229,10.18.18.225,135,10.18.126.10
10.223.251.201 10.223.252.200 10.223.252.201 10.236.63.231,10.18.18.235,389,10.18.126.10
10.236.63.230 10.236.63.231,10.18.18.235,389,10.236.251.206
10.236.127.233,10.18.18.235,389,10.236.251.246
10.236.127.234,10.214.170.209,3268,10.236.251.245
10.236.63.228 10.236.63.229,10.214.170.210,389,10.236.251.204
10.236.127.231,10.214.170.210,389,10.236.251.244
10.236.63.229,10.214.170.210,88,10.236.251.204
10.236.127.231 10.236.127.232,10.214.170.210,88,10.236.251.244
167.69.90.24,10.217.241.164,135,206.213.247.22
10.236.127.233,10.220.188.84,135,10.18.126.25
167.69.90.24,10.220.188.84,389,206.213.247.22
10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214,10.221.161.101,135,10.18.126.10
10.223.251.197 10.223.251.207 10.223.251.213 10.223.252.196 10.223.252.197 10.223.252.207 10.223.252.214 10.236.127.230,10.221.161.101,389,10.18.126.11
10.223.251.197 10.223.251.207 10.223.251.213 10.223.252.196 10.223.252.207 10.223.252.214 10.236.127.229 10.236.127.230 10.236.63.226 10.236.63.227,10.221.161.101,389,10.18.126.24
10.236.63.226,10.221.161.101,389,10.236.251.207
10.236.127.229 10.236.127.230,10.221.161.101,389,10.236.251.247
10.223.251.197 10.223.252.196 10.236.127.230 10.236.63.227,10.221.161.101,88,10.18.126.11
10.223.251.197 10.223.252.196 10.223.252.197,10.221.161.101,88,10.18.126.24
10.236.63.227,10.221.161.101,88,10.236.251.207
167.69.90.10,10.221.161.106,135,206.213.247.22
10.236.63.230 10.236.63.231,10.221.161.107,389,10.236.251.205
10.236.127.233 10.236.127.234,10.221.161.107,389,10.236.251.245
10.236.127.234,10.221.161.113,135,10.18.126.11
10.223.251.209 10.236.127.230,10.221.161.113,135,10.18.126.24
10.236.127.234,10.221.161.113,135,10.236.251.247
10.223.251.209 10.223.252.209 10.223.252.211,10.221.161.113,389,10.18.126.25
10.18.41.129,10.223.251.202,3268,10.18.126.25
10.220.188.80,10.223.252.196,88,10.18.126.10
10.8.2.3,10.223.252.198,135,10.18.126.11
10.8.2.3,10.223.252.198,135,10.18.126.24
10.236.127.230,10.228.8.60,135,10.18.126.11
10.236.127.230,10.228.8.60,135,10.18.126.24
10.236.127.230,10.228.8.60,135,10.236.251.247
167.69.5.179,10.236.127.227,3268,10.18.126.24
167.69.91.18,10.236.127.230,135,10.236.251.247
167.69.90.24,10.236.127.231,135,10.18.126.10
10.8.2.3,10.236.127.233,3268,10.18.126.10
10.8.2.3,10.236.127.233,3268,10.236.251.246
10.214.170.212,10.236.63.230,135,10.236.251.204
10.18.16.221,10.236.63.230,3268,10.18.126.10
10.18.16.221,10.236.63.230,3268,10.236.251.206
10.46.84.11,10.46.12.24,135,10.46.193.57
10.47.208.142,10.46.84.12,135,10.46.193.55
167.69.90.24 167.69.91.10 167.69.91.18,10.47.196.90,135,mid-fw-equinix-ftd-1
167.69.90.10 167.69.91.18,10.47.196.91,389,mid-fw-equinix-ftd-1
10.46.12.24,10.47.208.138,135,10.46.193.15
10.46.12.23,10.47.208.139,389,10.46.193.15
10.46.12.23 10.46.12.24,10.47.208.143,135,10.46.193.15
10.236.63.226 10.236.63.229,10.86.188.10,135,10.236.251.205
